time,hour,solar_kwh,consumption_kwh,surplus_kwh
2026-08-03 06:00:00,6,0.0,2.62,-2.62
2026-08-03 07:00:00,7,1.03,2.06,-1.03
2026-08-03 08:00:00,8,1.98,2.33,-0.34
2026-08-03 09:00:00,9,3.25,2.64,0.61
2026-08-03 10:00:00,10,4.18,0.99,3.19
2026-08-03 11:00:00,11,3.55,1.09,2.47
2026-08-03 12:00:00,12,4.64,1.02,3.62
2026-08-03 13:00:00,13,4.5,1.0,3.5
2026-08-03 14:00:00,14,3.71,0.97,2.74
2026-08-03 15:00:00,15,2.5,0.84,1.66
2026-08-03 16:00:00,16,1.77,1.05,0.72
2026-08-03 17:00:00,17,1.03,1.0,0.02
2026-08-03 18:00:00,18,0.0,2.25,-2.25
2026-08-03 19:00:00,19,0.0,2.41,-2.41
2026-08-03 20:00:00,20,0.0,2.76,-2.76
2026-08-03 21:00:00,21,0.0,2.23,-2.23
2026-08-03 22:00:00,22,0.0,2.08,-2.08
2026-08-03 23:00:00,23,0.0,0.92,-0.92
2026-08-04 00:00:00,0,0.0,0.86,-0.86
2026-08-04 01:00:00,1,0.0,1.17,-1.17
2026-08-04 02:00:00,2,0.0,1.12,-1.12
2026-08-04 03:00:00,3,0.0,1.05,-1.05
2026-08-04 04:00:00,4,0.0,1.15,-1.15
2026-08-04 05:00:00,5,0.0,1.12,-1.12
2026-08-04 06:00:00,6,0.0,2.89,-2.89
2026-08-04 07:00:00,7,1.12,2.81,-1.69
2026-08-04 08:00:00,8,2.42,2.32,0.1
2026-08-04 09:00:00,9,2.59,2.23,0.36
2026-08-04 10:00:00,10,3.59,1.13,2.46
2026-08-04 11:00:00,11,4.63,0.8,3.83
2026-08-04 12:00:00,12,4.27,0.97,3.3
2026-08-04 13:00:00,13,3.7,0.85,2.85
2026-08-04 14:00:00,14,3.47,1.18,2.29
2026-08-04 15:00:00,15,2.82,1.01,1.81
2026-08-04 16:00:00,16,2.28,0.95,1.33
2026-08-04 17:00:00,17,1.28,1.18,0.1
2026-08-04 18:00:00,18,0.0,2.5,-2.5
2026-08-04 19:00:00,19,0.0,2.3,-2.3
2026-08-04 20:00:00,20,0.0,2.28,-2.28
2026-08-04 21:00:00,21,0.0,2.04,-2.04
2026-08-04 22:00:00,22,0.0,2.61,-2.61
2026-08-04 23:00:00,23,0.0,1.0,-1.0
2026-08-05 00:00:00,0,0.0,0.82,-0.82
2026-08-05 01:00:00,1,0.0,0.91,-0.91
2026-08-05 02:00:00,2,0.0,1.16,-1.16
2026-08-05 03:00:00,3,0.0,0.9,-0.9
2026-08-05 04:00:00,4,0.0,0.86,-0.86
2026-08-05 05:00:00,5,0.0,1.0,-1.0
2026-08-05 06:00:00,6,0.0,2.24,-2.24
2026-08-05 07:00:00,7,1.17,2.76,-1.59
2026-08-05 08:00:00,8,1.93,2.73,-0.8
2026-08-05 09:00:00,9,2.86,2.63,0.23
2026-08-05 10:00:00,10,3.85,1.01,2.84
2026-08-05 11:00:00,11,3.51,1.13,2.38
2026-08-05 12:00:00,12,3.98,0.87,3.11
2026-08-05 13:00:00,13,3.44,1.04,2.4
2026-08-05 14:00:00,14,3.91,0.81,3.1
2026-08-05 15:00:00,15,3.02,0.89,2.13
2026-08-05 16:00:00,16,2.23,0.87,1.36
2026-08-05 17:00:00,17,1.17,0.95,0.22
2026-08-05 18:00:00,18,0.0,2.14,-2.14
2026-08-05 19:00:00,19,0.0,2.34,-2.34
2026-08-05 20:00:00,20,0.0,2.11,-2.11
2026-08-05 21:00:00,21,0.0,2.92,-2.92
2026-08-05 22:00:00,22,0.0,2.88,-2.88
2026-08-05 23:00:00,23,0.0,0.9,-0.9
2026-08-06 00:00:00,0,0.0,1.06,-1.06
2026-08-06 01:00:00,1,0.0,1.13,-1.13
2026-08-06 02:00:00,2,0.0,1.02,-1.02
2026-08-06 03:00:00,3,0.0,1.01,-1.01
2026-08-06 04:00:00,4,0.0,0.9,-0.9
2026-08-06 05:00:00,5,0.0,0.84,-0.84
2026-08-06 06:00:00,6,0.0,2.9,-2.9
2026-08-06 07:00:00,7,1.15,2.34,-1.19
2026-08-06 08:00:00,8,2.01,2.73,-0.71
2026-08-06 09:00:00,9,3.43,2.89,0.54
2026-08-06 10:00:00,10,4.04,1.06,2.99
2026-08-06 11:00:00,11,3.5,0.86,2.64
2026-08-06 12:00:00,12,4.85,1.04,3.81
2026-08-06 13:00:00,13,3.39,0.84,2.55
2026-08-06 14:00:00,14,3.89,0.8,3.09
2026-08-06 15:00:00,15,2.65,1.02,1.63
2026-08-06 16:00:00,16,2.27,1.06,1.21
2026-08-06 17:00:00,17,0.99,1.08,-0.09
2026-08-06 18:00:00,18,0.0,2.33,-2.33
2026-08-06 19:00:00,19,0.0,2.75,-2.75
2026-08-06 20:00:00,20,0.0,2.65,-2.65
2026-08-06 21:00:00,21,0.0,2.85,-2.85
2026-08-06 22:00:00,22,0.0,2.66,-2.66
2026-08-06 23:00:00,23,0.0,1.03,-1.03
2026-08-07 00:00:00,0,0.0,0.84,-0.84
2026-08-07 01:00:00,1,0.0,0.95,-0.95
2026-08-07 02:00:00,2,0.0,0.91,-0.91
2026-08-07 03:00:00,3,0.0,0.9,-0.9
2026-08-07 04:00:00,4,0.0,1.19,-1.19
2026-08-07 05:00:00,5,0.0,0.96,-0.96
2026-08-07 06:00:00,6,0.0,2.63,-2.63
2026-08-07 07:00:00,7,1.21,2.5,-1.29
2026-08-07 08:00:00,8,2.18,2.49,-0.31
2026-08-07 09:00:00,9,2.68,2.72,-0.04
2026-08-07 10:00:00,10,3.4,0.81,2.59
2026-08-07 11:00:00,11,4.32,0.87,3.45
2026-08-07 12:00:00,12,4.91,1.18,3.73
2026-08-07 13:00:00,13,4.71,0.95,3.76
2026-08-07 14:00:00,14,3.05,1.17,1.88
2026-08-07 15:00:00,15,2.93,1.19,1.74
2026-08-07 16:00:00,16,2.47,1.14,1.33
2026-08-07 17:00:00,17,1.02,0.95,0.07
2026-08-07 18:00:00,18,0.0,2.32,-2.32
2026-08-07 19:00:00,19,0.0,2.17,-2.17
2026-08-07 20:00:00,20,0.0,2.56,-2.56
2026-08-07 21:00:00,21,0.0,2.94,-2.94
2026-08-07 22:00:00,22,0.0,2.7,-2.7
2026-08-07 23:00:00,23,0.0,1.03,-1.03
2026-08-08 00:00:00,0,0.0,0.84,-0.84
2026-08-08 01:00:00,1,0.0,1.05,-1.05
2026-08-08 02:00:00,2,0.0,1.2,-1.2
2026-08-08 03:00:00,3,0.0,0.86,-0.86
2026-08-08 04:00:00,4,0.0,1.01,-1.01
2026-08-08 05:00:00,5,0.0,1.15,-1.15
2026-08-08 06:00:00,6,0.0,2.7,-2.7
2026-08-08 07:00:00,7,1.18,2.36,-1.18
2026-08-08 08:00:00,8,1.97,2.81,-0.84
2026-08-08 09:00:00,9,3.33,2.87,0.47
2026-08-08 10:00:00,10,4.22,1.0,3.21
2026-08-08 11:00:00,11,4.11,1.12,2.99
2026-08-08 12:00:00,12,4.47,1.08,3.39
2026-08-08 13:00:00,13,4.53,1.16,3.38
2026-08-08 14:00:00,14,3.47,0.95,2.52
2026-08-08 15:00:00,15,2.57,1.03,1.54
2026-08-08 16:00:00,16,1.78,0.99,0.79
2026-08-08 17:00:00,17,1.12,0.91,0.2
2026-08-08 18:00:00,18,0.0,2.03,-2.03
2026-08-08 19:00:00,19,0.0,2.04,-2.04
2026-08-08 20:00:00,20,0.0,2.82,-2.82
2026-08-08 21:00:00,21,0.0,2.36,-2.36
2026-08-08 22:00:00,22,0.0,2.13,-2.13
2026-08-08 23:00:00,23,0.0,1.01,-1.01
2026-08-09 00:00:00,0,0.0,1.11,-1.11
2026-08-09 01:00:00,1,0.0,0.89,-0.89
2026-08-09 02:00:00,2,0.0,1.05,-1.05
2026-08-09 03:00:00,3,0.0,0.83,-0.83
2026-08-09 04:00:00,4,0.0,0.82,-0.82
2026-08-09 05:00:00,5,0.0,1.01,-1.01
2026-08-09 06:00:00,6,0.0,2.64,-2.64
2026-08-09 07:00:00,7,1.19,2.98,-1.79
2026-08-09 08:00:00,8,2.14,2.32,-0.19
2026-08-09 09:00:00,9,3.32,2.27,1.05
2026-08-09 10:00:00,10,3.6,0.83,2.77
2026-08-09 11:00:00,11,3.42,1.19,2.23
2026-08-09 12:00:00,12,4.75,1.08,3.68
2026-08-09 13:00:00,13,3.97,0.87,3.1
2026-08-09 14:00:00,14,3.23,0.9,2.33
2026-08-09 15:00:00,15,3.06,1.09,1.97
2026-08-09 16:00:00,16,2.25,0.91,1.33
2026-08-09 17:00:00,17,1.28,1.1,0.18
2026-08-09 18:00:00,18,0.0,2.61,-2.61
2026-08-09 19:00:00,19,0.0,2.42,-2.42
2026-08-09 20:00:00,20,0.0,2.25,-2.25
2026-08-09 21:00:00,21,0.0,2.36,-2.36
2026-08-09 22:00:00,22,0.0,2.76,-2.76
2026-08-09 23:00:00,23,0.0,0.81,-0.81
2026-08-10 00:00:00,0,0.0,0.85,-0.85
2026-08-10 01:00:00,1,0.0,0.82,-0.82
2026-08-10 02:00:00,2,0.0,0.82,-0.82
2026-08-10 03:00:00,3,0.0,1.14,-1.14
2026-08-10 04:00:00,4,0.0,1.08,-1.08
2026-08-10 05:00:00,5,0.0,0.99,-0.99
2026-08-10 06:00:00,6,0.0,2.49,-2.49
2026-08-10 07:00:00,7,1.09,2.17,-1.08
2026-08-10 08:00:00,8,2.08,2.4,-0.32
2026-08-10 09:00:00,9,3.13,2.64,0.49
2026-08-10 10:00:00,10,3.09,0.95,2.14
2026-08-10 11:00:00,11,4.29,1.0,3.29
2026-08-10 12:00:00,12,4.78,1.06,3.72
2026-08-10 13:00:00,13,3.62,0.83,2.79
2026-08-10 14:00:00,14,3.87,0.81,3.06
2026-08-10 15:00:00,15,3.1,1.18,1.92
2026-08-10 16:00:00,16,2.18,0.96,1.23
2026-08-10 17:00:00,17,1.16,0.98,0.17
2026-08-10 18:00:00,18,0.0,2.94,-2.94
2026-08-10 19:00:00,19,0.0,2.39,-2.39
2026-08-10 20:00:00,20,0.0,2.96,-2.96
2026-08-10 21:00:00,21,0.0,2.91,-2.91
2026-08-10 22:00:00,22,0.0,2.2,-2.2
2026-08-10 23:00:00,23,0.0,0.83,-0.83
2026-08-11 00:00:00,0,0.0,0.84,-0.84
2026-08-11 01:00:00,1,0.0,0.81,-0.81
2026-08-11 02:00:00,2,0.0,0.84,-0.84
2026-08-11 03:00:00,3,0.0,1.07,-1.07
2026-08-11 04:00:00,4,0.0,0.83,-0.83
2026-08-11 05:00:00,5,0.0,0.93,-0.93
2026-08-11 06:00:00,6,0.0,2.02,-2.02
2026-08-11 07:00:00,7,1.22,2.28,-1.06
2026-08-11 08:00:00,8,1.84,2.7,-0.86
2026-08-11 09:00:00,9,3.14,2.88,0.26
2026-08-11 10:00:00,10,3.99,1.12,2.86
2026-08-11 11:00:00,11,3.79,0.87,2.92
2026-08-11 12:00:00,12,4.63,1.12,3.5
2026-08-11 13:00:00,13,4.82,0.97,3.85
2026-08-11 14:00:00,14,3.51,1.11,2.4
2026-08-11 15:00:00,15,2.84,1.17,1.66
2026-08-11 16:00:00,16,2.39,0.97,1.42
2026-08-11 17:00:00,17,1.2,1.1,0.1
2026-08-11 18:00:00,18,0.0,2.9,-2.9
2026-08-11 19:00:00,19,0.0,2.51,-2.51
2026-08-11 20:00:00,20,0.0,2.83,-2.83
2026-08-11 21:00:00,21,0.0,2.32,-2.32
2026-08-11 22:00:00,22,0.0,2.9,-2.9
2026-08-11 23:00:00,23,0.0,0.96,-0.96
2026-08-12 00:00:00,0,0.0,0.8,-0.8
2026-08-12 01:00:00,1,0.0,1.16,-1.16
2026-08-12 02:00:00,2,0.0,0.84,-0.84
2026-08-12 03:00:00,3,0.0,0.93,-0.93
2026-08-12 04:00:00,4,0.0,1.18,-1.18
2026-08-12 05:00:00,5,0.0,1.18,-1.18
2026-08-12 06:00:00,6,0.0,2.63,-2.63
2026-08-12 07:00:00,7,1.08,2.29,-1.21
2026-08-12 08:00:00,8,2.0,2.67,-0.68
2026-08-12 09:00:00,9,3.27,2.79,0.48
2026-08-12 10:00:00,10,4.06,0.84,3.22
2026-08-12 11:00:00,11,4.1,0.82,3.27
2026-08-12 12:00:00,12,4.32,0.98,3.35
2026-08-12 13:00:00,13,4.67,0.94,3.73
2026-08-12 14:00:00,14,3.18,0.86,2.33
2026-08-12 15:00:00,15,3.28,1.05,2.24
2026-08-12 16:00:00,16,1.83,0.83,0.99
2026-08-12 17:00:00,17,1.18,0.83,0.35
2026-08-12 18:00:00,18,0.0,2.71,-2.71
2026-08-12 19:00:00,19,0.0,2.08,-2.08
2026-08-12 20:00:00,20,0.0,2.08,-2.08
2026-08-12 21:00:00,21,0.0,2.99,-2.99
2026-08-12 22:00:00,22,0.0,2.37,-2.37
2026-08-12 23:00:00,23,0.0,0.95,-0.95
2026-08-13 00:00:00,0,0.0,1.13,-1.13
2026-08-13 01:00:00,1,0.0,1.18,-1.18
2026-08-13 02:00:00,2,0.0,1.19,-1.19
2026-08-13 03:00:00,3,0.0,1.1,-1.1
2026-08-13 04:00:00,4,0.0,0.95,-0.95
2026-08-13 05:00:00,5,0.0,0.83,-0.83
2026-08-13 06:00:00,6,0.0,2.56,-2.56
2026-08-13 07:00:00,7,1.07,2.91,-1.84
2026-08-13 08:00:00,8,1.83,2.49,-0.66
2026-08-13 09:00:00,9,2.49,2.47,0.02
2026-08-13 10:00:00,10,3.1,0.85,2.26
2026-08-13 11:00:00,11,3.55,1.06,2.49
2026-08-13 12:00:00,12,4.62,1.03,3.59
2026-08-13 13:00:00,13,4.77,0.95,3.82
2026-08-13 14:00:00,14,3.4,1.15,2.25
2026-08-13 15:00:00,15,2.71,1.19,1.53
2026-08-13 16:00:00,16,1.76,1.19,0.57
2026-08-13 17:00:00,17,0.92,1.16,-0.23
2026-08-13 18:00:00,18,0.0,2.99,-2.99
2026-08-13 19:00:00,19,0.0,2.07,-2.07
2026-08-13 20:00:00,20,0.0,2.55,-2.55
2026-08-13 21:00:00,21,0.0,2.97,-2.97
2026-08-13 22:00:00,22,0.0,2.52,-2.52
2026-08-13 23:00:00,23,0.0,1.05,-1.05
2026-08-14 00:00:00,0,0.0,1.08,-1.08
2026-08-14 01:00:00,1,0.0,0.98,-0.98
2026-08-14 02:00:00,2,0.0,1.05,-1.05
2026-08-14 03:00:00,3,0.0,1.03,-1.03
2026-08-14 04:00:00,4,0.0,1.16,-1.16
2026-08-14 05:00:00,5,0.0,0.82,-0.82
2026-08-14 06:00:00,6,0.0,2.95,-2.95
2026-08-14 07:00:00,7,1.25,2.46,-1.2
2026-08-14 08:00:00,8,2.22,2.28,-0.06
2026-08-14 09:00:00,9,2.67,2.46,0.21
2026-08-14 10:00:00,10,3.49,1.03,2.46
2026-08-14 11:00:00,11,3.49,1.19,2.3
2026-08-14 12:00:00,12,4.98,1.08,3.9
2026-08-14 13:00:00,13,4.16,0.92,3.23
2026-08-14 14:00:00,14,4.09,1.07,3.01
2026-08-14 15:00:00,15,2.65,1.16,1.48
2026-08-14 16:00:00,16,2.37,1.18,1.19
2026-08-14 17:00:00,17,1.19,1.05,0.14
2026-08-14 18:00:00,18,0.0,2.93,-2.93
2026-08-14 19:00:00,19,0.0,2.87,-2.87
2026-08-14 20:00:00,20,0.0,2.05,-2.05
2026-08-14 21:00:00,21,0.0,2.03,-2.03
2026-08-14 22:00:00,22,0.0,2.38,-2.38
2026-08-14 23:00:00,23,0.0,1.12,-1.12
2026-08-15 00:00:00,0,0.0,1.19,-1.19
2026-08-15 01:00:00,1,0.0,0.86,-0.86
2026-08-15 02:00:00,2,0.0,1.04,-1.04
2026-08-15 03:00:00,3,0.0,0.95,-0.95
2026-08-15 04:00:00,4,0.0,1.19,-1.19
2026-08-15 05:00:00,5,0.0,1.14,-1.14
2026-08-15 06:00:00,6,0.0,2.47,-2.47
2026-08-15 07:00:00,7,1.07,2.27,-1.21
2026-08-15 08:00:00,8,1.79,2.86,-1.07
2026-08-15 09:00:00,9,3.34,3.0,0.34
2026-08-15 10:00:00,10,4.33,1.02,3.3
2026-08-15 11:00:00,11,4.49,1.18,3.32
2026-08-15 12:00:00,12,4.77,0.9,3.88
2026-08-15 13:00:00,13,4.03,0.85,3.18
2026-08-15 14:00:00,14,4.27,1.04,3.23
2026-08-15 15:00:00,15,2.72,1.07,1.65
2026-08-15 16:00:00,16,2.21,0.94,1.27
2026-08-15 17:00:00,17,0.95,1.07,-0.12
2026-08-15 18:00:00,18,0.0,2.77,-2.77
2026-08-15 19:00:00,19,0.0,2.52,-2.52
2026-08-15 20:00:00,20,0.0,2.85,-2.85
2026-08-15 21:00:00,21,0.0,2.55,-2.55
2026-08-15 22:00:00,22,0.0,2.56,-2.56
2026-08-15 23:00:00,23,0.0,1.15,-1.15
2026-08-16 00:00:00,0,0.0,0.96,-0.96
2026-08-16 01:00:00,1,0.0,0.85,-0.85
2026-08-16 02:00:00,2,0.0,0.81,-0.81
2026-08-16 03:00:00,3,0.0,1.1,-1.1
2026-08-16 04:00:00,4,0.0,1.05,-1.05
2026-08-16 05:00:00,5,0.0,1.08,-1.08
2026-08-16 06:00:00,6,0.0,2.14,-2.14
2026-08-16 07:00:00,7,0.91,2.35,-1.44
2026-08-16 08:00:00,8,2.19,2.39,-0.2
2026-08-16 09:00:00,9,2.94,2.9,0.03
2026-08-16 10:00:00,10,3.48,1.01,2.48
2026-08-16 11:00:00,11,4.52,0.96,3.56
2026-08-16 12:00:00,12,4.43,1.14,3.29
2026-08-16 13:00:00,13,4.76,0.86,3.9
2026-08-16 14:00:00,14,4.23,1.0,3.24
2026-08-16 15:00:00,15,2.75,0.98,1.77
2026-08-16 16:00:00,16,2.49,1.0,1.49
2026-08-16 17:00:00,17,1.03,1.05,-0.02
2026-08-16 18:00:00,18,0.0,2.08,-2.08
2026-08-16 19:00:00,19,0.0,2.13,-2.13
2026-08-16 20:00:00,20,0.0,2.13,-2.13
2026-08-16 21:00:00,21,0.0,2.15,-2.15
2026-08-16 22:00:00,22,0.0,2.14,-2.14
2026-08-16 23:00:00,23,0.0,1.06,-1.06
2026-08-17 00:00:00,0,0.0,0.87,-0.87
2026-08-17 01:00:00,1,0.0,0.94,-0.94
2026-08-17 02:00:00,2,0.0,1.16,-1.16
2026-08-17 03:00:00,3,0.0,0.99,-0.99
2026-08-17 04:00:00,4,0.0,1.07,-1.07
2026-08-17 05:00:00,5,0.0,0.87,-0.87
2026-08-17 06:00:00,6,0.0,2.04,-2.04
2026-08-17 07:00:00,7,0.97,2.28,-1.31
2026-08-17 08:00:00,8,1.88,2.09,-0.21
2026-08-17 09:00:00,9,2.6,2.46,0.14
2026-08-17 10:00:00,10,3.3,0.95,2.35
2026-08-17 11:00:00,11,4.11,1.08,3.03
2026-08-17 12:00:00,12,3.56,1.12,2.44
2026-08-17 13:00:00,13,4.29,0.83,3.46
2026-08-17 14:00:00,14,4.17,1.17,3.0
2026-08-17 15:00:00,15,2.54,0.91,1.63
2026-08-17 16:00:00,16,2.35,1.1,1.26
2026-08-17 17:00:00,17,0.98,0.88,0.09
2026-08-17 18:00:00,18,0.0,2.48,-2.48
2026-08-17 19:00:00,19,0.0,2.62,-2.62
2026-08-17 20:00:00,20,0.0,2.37,-2.37
2026-08-17 21:00:00,21,0.0,2.46,-2.46
2026-08-17 22:00:00,22,0.0,2.75,-2.75
2026-08-17 23:00:00,23,0.0,0.81,-0.81
2026-08-18 00:00:00,0,0.0,0.9,-0.9
2026-08-18 01:00:00,1,0.0,1.09,-1.09
2026-08-18 02:00:00,2,0.0,1.16,-1.16
2026-08-18 03:00:00,3,0.0,1.0,-1.0
2026-08-18 04:00:00,4,0.0,1.01,-1.01
2026-08-18 05:00:00,5,0.0,0.84,-0.84
2026-08-18 06:00:00,6,0.0,2.53,-2.53
2026-08-18 07:00:00,7,1.0,2.27,-1.27
2026-08-18 08:00:00,8,2.03,2.02,0.01
2026-08-18 09:00:00,9,2.82,2.21,0.61
2026-08-18 10:00:00,10,3.46,0.85,2.61
2026-08-18 11:00:00,11,4.67,1.04,3.63
2026-08-18 12:00:00,12,4.52,1.12,3.4
2026-08-18 13:00:00,13,4.1,0.83,3.27
2026-08-18 14:00:00,14,3.73,1.03,2.69
2026-08-18 15:00:00,15,3.27,0.97,2.29
2026-08-18 16:00:00,16,1.85,0.91,0.93
2026-08-18 17:00:00,17,1.05,1.06,-0.01
2026-08-18 18:00:00,18,0.0,2.36,-2.36
2026-08-18 19:00:00,19,0.0,2.99,-2.99
2026-08-18 20:00:00,20,0.0,2.61,-2.61
2026-08-18 21:00:00,21,0.0,2.24,-2.24
2026-08-18 22:00:00,22,0.0,2.1,-2.1
2026-08-18 23:00:00,23,0.0,0.86,-0.86
2026-08-19 00:00:00,0,0.0,0.9,-0.9
2026-08-19 01:00:00,1,0.0,0.86,-0.86
2026-08-19 02:00:00,2,0.0,0.87,-0.87
2026-08-19 03:00:00,3,0.0,0.91,-0.91
2026-08-19 04:00:00,4,0.0,0.87,-0.87
2026-08-19 05:00:00,5,0.0,1.16,-1.16
2026-08-19 06:00:00,6,0.0,2.52,-2.52
2026-08-19 07:00:00,7,1.07,2.98,-1.92
2026-08-19 08:00:00,8,1.83,2.4,-0.56
2026-08-19 09:00:00,9,3.5,2.87,0.64
2026-08-19 10:00:00,10,4.09,0.9,3.19
2026-08-19 11:00:00,11,3.63,1.07,2.56
2026-08-19 12:00:00,12,4.89,1.02,3.87
2026-08-19 13:00:00,13,4.21,0.91,3.3
2026-08-19 14:00:00,14,4.03,0.87,3.16
2026-08-19 15:00:00,15,2.82,0.97,1.85
2026-08-19 16:00:00,16,2.13,0.9,1.23
2026-08-19 17:00:00,17,0.95,1.04,-0.09
2026-08-19 18:00:00,18,0.0,2.58,-2.58
2026-08-19 19:00:00,19,0.0,2.15,-2.15
2026-08-19 20:00:00,20,0.0,2.48,-2.48
2026-08-19 21:00:00,21,0.0,2.53,-2.53
2026-08-19 22:00:00,22,0.0,2.05,-2.05
2026-08-19 23:00:00,23,0.0,0.93,-0.93
2026-08-20 00:00:00,0,0.0,0.85,-0.85
2026-08-20 01:00:00,1,0.0,0.83,-0.83
2026-08-20 02:00:00,2,0.0,1.2,-1.2
2026-08-20 03:00:00,3,0.0,0.93,-0.93
2026-08-20 04:00:00,4,0.0,1.12,-1.12
2026-08-20 05:00:00,5,0.0,0.9,-0.9
2026-08-20 06:00:00,6,0.0,2.76,-2.76
2026-08-20 07:00:00,7,1.14,2.47,-1.33
2026-08-20 08:00:00,8,2.06,2.35,-0.29
2026-08-20 09:00:00,9,3.46,2.83,0.63
2026-08-20 10:00:00,10,4.28,0.85,3.43
2026-08-20 11:00:00,11,4.44,1.18,3.26
2026-08-20 12:00:00,12,3.77,0.83,2.95
2026-08-20 13:00:00,13,4.45,1.03,3.42
2026-08-20 14:00:00,14,4.12,0.86,3.27
2026-08-20 15:00:00,15,3.32,0.88,2.44
2026-08-20 16:00:00,16,1.87,0.87,1.01
2026-08-20 17:00:00,17,1.22,1.07,0.16
2026-08-20 18:00:00,18,0.0,2.36,-2.36
2026-08-20 19:00:00,19,0.0,2.88,-2.88
2026-08-20 20:00:00,20,0.0,2.39,-2.39
2026-08-20 21:00:00,21,0.0,2.82,-2.82
2026-08-20 22:00:00,22,0.0,2.44,-2.44
2026-08-20 23:00:00,23,0.0,0.95,-0.95
2026-08-21 00:00:00,0,0.0,0.99,-0.99
2026-08-21 01:00:00,1,0.0,0.92,-0.92
2026-08-21 02:00:00,2,0.0,1.1,-1.1
2026-08-21 03:00:00,3,0.0,1.0,-1.0
2026-08-21 04:00:00,4,0.0,0.89,-0.89
2026-08-21 05:00:00,5,0.0,1.16,-1.16
2026-08-21 06:00:00,6,0.0,2.54,-2.54
2026-08-21 07:00:00,7,1.26,2.62,-1.37
2026-08-21 08:00:00,8,1.84,2.94,-1.1
2026-08-21 09:00:00,9,3.14,2.33,0.81
2026-08-21 10:00:00,10,3.21,1.12,2.09
2026-08-21 11:00:00,11,4.28,1.01,3.27
2026-08-21 12:00:00,12,4.84,1.12,3.73
2026-08-21 13:00:00,13,3.6,0.92,2.68
2026-08-21 14:00:00,14,3.35,1.1,2.26
2026-08-21 15:00:00,15,2.51,1.03,1.48
2026-08-21 16:00:00,16,2.32,1.15,1.17
2026-08-21 17:00:00,17,1.04,1.13,-0.09
2026-08-21 18:00:00,18,0.0,2.85,-2.85
2026-08-21 19:00:00,19,0.0,2.13,-2.13
2026-08-21 20:00:00,20,0.0,2.4,-2.4
2026-08-21 21:00:00,21,0.0,2.8,-2.8
2026-08-21 22:00:00,22,0.0,2.15,-2.15
2026-08-21 23:00:00,23,0.0,0.89,-0.89
