time,temp,cloud_cover,radiation,hour,solar_kwh,consumption_kwh,surplus_kwh
2026-07-03 11:00:00,27.7,100,710.0,11,3.55,0.93,2.62
2026-07-03 12:00:00,27.5,100,712.0,12,3.56,0.96,2.6
2026-07-03 13:00:00,27.4,100,414.0,13,2.07,0.91,1.16
2026-07-03 14:00:00,27.1,100,447.0,14,2.24,1.13,1.11
2026-07-03 15:00:00,25.5,99,423.0,15,2.11,0.94,1.17
2026-07-03 16:00:00,24.5,99,338.0,16,1.69,0.91,0.78
2026-07-03 17:00:00,24.0,98,212.0,17,1.06,1.02,0.04
2026-07-03 18:00:00,24.4,64,91.0,18,0.45,2.14,-1.69
2026-07-03 19:00:00,23.9,63,3.0,19,0.02,2.8,-2.78
2026-07-03 20:00:00,23.3,97,0.0,20,0.0,2.07,-2.07
2026-07-03 21:00:00,23.0,100,0.0,21,0.0,2.99,-2.99
2026-07-03 22:00:00,22.6,100,0.0,22,0.0,2.77,-2.77
2026-07-03 23:00:00,22.8,100,0.0,23,0.0,0.88,-0.88
2026-07-04 00:00:00,22.0,100,0.0,0,0.0,0.8,-0.8
2026-07-04 01:00:00,21.6,100,0.0,1,0.0,1.13,-1.13
2026-07-04 02:00:00,21.2,100,0.0,2,0.0,1.08,-1.08
2026-07-04 03:00:00,21.0,100,0.0,3,0.0,1.09,-1.09
2026-07-04 04:00:00,21.0,100,0.0,4,0.0,1.11,-1.11
2026-07-04 05:00:00,21.0,100,0.0,5,0.0,0.83,-0.83
2026-07-04 06:00:00,20.7,100,6.0,6,0.03,2.36,-2.33
2026-07-04 07:00:00,20.9,100,40.0,7,0.2,2.12,-1.92
2026-07-04 08:00:00,21.5,98,170.0,8,0.85,2.86,-2.01
2026-07-04 09:00:00,22.2,98,285.0,9,1.42,2.62,-1.2
2026-07-04 10:00:00,23.9,100,421.0,10,2.1,0.93,1.17
2026-07-04 11:00:00,24.8,100,220.0,11,1.1,0.83,0.27
2026-07-04 12:00:00,26.0,100,553.0,12,2.76,0.92,1.84
2026-07-04 13:00:00,26.7,99,413.0,13,2.06,0.93,1.13
2026-07-04 14:00:00,27.6,94,567.0,14,2.84,1.09,1.75
2026-07-04 15:00:00,27.2,94,479.0,15,2.4,1.06,1.34
2026-07-04 16:00:00,27.0,91,386.0,16,1.93,1.15,0.78
2026-07-04 17:00:00,26.0,100,245.0,17,1.23,0.99,0.24
2026-07-04 18:00:00,24.6,97,66.0,18,0.33,2.12,-1.79
2026-07-04 19:00:00,23.6,100,1.0,19,0.0,2.71,-2.71
2026-07-04 20:00:00,22.9,100,0.0,20,0.0,2.76,-2.76
2026-07-04 21:00:00,22.5,97,0.0,21,0.0,2.56,-2.56
2026-07-04 22:00:00,21.9,99,0.0,22,0.0,2.77,-2.77
2026-07-04 23:00:00,21.7,100,0.0,23,0.0,1.0,-1.0
2026-07-05 00:00:00,21.6,99,0.0,0,0.0,1.01,-1.01
2026-07-05 01:00:00,21.4,100,0.0,1,0.0,0.97,-0.97
2026-07-05 02:00:00,21.3,100,0.0,2,0.0,0.81,-0.81
2026-07-05 03:00:00,21.1,100,0.0,3,0.0,0.84,-0.84
2026-07-05 04:00:00,21.1,100,0.0,4,0.0,0.81,-0.81
2026-07-05 05:00:00,21.6,100,0.0,5,0.0,1.05,-1.05
2026-07-05 06:00:00,21.6,100,8.0,6,0.04,2.31,-2.27
2026-07-05 07:00:00,22.0,100,51.0,7,0.26,2.51,-2.25
2026-07-05 08:00:00,22.6,99,125.0,8,0.62,2.91,-2.29
2026-07-05 09:00:00,24.6,98,312.0,9,1.56,2.25,-0.69
2026-07-05 10:00:00,26.2,94,422.0,10,2.11,0.96,1.15
2026-07-05 11:00:00,26.7,95,678.0,11,3.39,1.1,2.29
2026-07-05 12:00:00,27.8,77,656.0,12,3.28,0.89,2.39
2026-07-05 13:00:00,27.8,80,833.0,13,4.16,0.83,3.33
2026-07-05 14:00:00,28.6,68,810.0,14,4.05,0.92,3.13
2026-07-05 15:00:00,28.6,80,744.0,15,3.72,0.86,2.86
2026-07-05 16:00:00,27.9,95,511.0,16,2.56,1.17,1.39
2026-07-05 17:00:00,26.3,96,312.0,17,1.56,1.12,0.44
2026-07-05 18:00:00,25.3,98,113.0,18,0.57,2.63,-2.06
2026-07-05 19:00:00,23.8,99,4.0,19,0.02,2.87,-2.85
2026-07-05 20:00:00,22.8,98,0.0,20,0.0,2.8,-2.8
2026-07-05 21:00:00,22.1,98,0.0,21,0.0,2.19,-2.19
2026-07-05 22:00:00,21.5,97,0.0,22,0.0,2.89,-2.89
2026-07-05 23:00:00,21.5,95,0.0,23,0.0,1.02,-1.02
2026-07-06 00:00:00,21.1,98,0.0,0,0.0,1.12,-1.12
2026-07-06 01:00:00,20.9,100,0.0,1,0.0,1.16,-1.16
2026-07-06 02:00:00,20.9,100,0.0,2,0.0,0.93,-0.93
2026-07-06 03:00:00,20.9,100,0.0,3,0.0,0.84,-0.84
2026-07-06 04:00:00,20.7,99,0.0,4,0.0,0.89,-0.89
2026-07-06 05:00:00,21.3,100,0.0,5,0.0,0.97,-0.97
2026-07-06 06:00:00,21.3,100,10.0,6,0.05,2.82,-2.77
2026-07-06 07:00:00,21.9,98,113.0,7,0.57,2.86,-2.29
2026-07-06 08:00:00,23.7,100,332.0,8,1.66,2.01,-0.35
2026-07-06 09:00:00,25.2,100,495.0,9,2.48,2.51,-0.03
2026-07-06 10:00:00,26.1,100,578.0,10,2.89,0.97,1.92
2026-07-06 11:00:00,27.5,87,785.0,11,3.92,0.89,3.03
2026-07-06 12:00:00,28.5,55,909.0,12,4.54,0.85,3.69
2026-07-06 13:00:00,28.8,74,925.0,13,4.62,0.94,3.68
2026-07-06 14:00:00,29.1,97,752.0,14,3.76,1.18,2.58
2026-07-06 15:00:00,28.7,72,704.0,15,3.52,0.93,2.59
2026-07-06 16:00:00,28.1,80,518.0,16,2.59,1.01,1.58
2026-07-06 17:00:00,27.6,98,273.0,17,1.37,1.08,0.29
2026-07-06 18:00:00,25.9,92,87.0,18,0.43,2.36,-1.93
2026-07-06 19:00:00,24.6,99,3.0,19,0.02,2.97,-2.95
2026-07-06 20:00:00,23.6,98,0.0,20,0.0,2.96,-2.96
2026-07-06 21:00:00,22.8,97,0.0,21,0.0,2.25,-2.25
2026-07-06 22:00:00,22.2,99,0.0,22,0.0,2.5,-2.5
2026-07-06 23:00:00,22.1,99,0.0,23,0.0,0.92,-0.92
2026-07-07 00:00:00,21.8,100,0.0,0,0.0,0.91,-0.91
2026-07-07 01:00:00,21.6,100,0.0,1,0.0,0.81,-0.81
2026-07-07 02:00:00,21.4,100,0.0,2,0.0,1.04,-1.04
2026-07-07 03:00:00,21.2,99,0.0,3,0.0,1.0,-1.0
2026-07-07 04:00:00,21.1,100,0.0,4,0.0,0.82,-0.82
2026-07-07 05:00:00,21.7,99,0.0,5,0.0,0.91,-0.91
2026-07-07 06:00:00,21.8,100,9.0,6,0.04,2.91,-2.87
2026-07-07 07:00:00,22.7,100,108.0,7,0.54,2.24,-1.7
2026-07-07 08:00:00,24.1,99,288.0,8,1.44,2.14,-0.7
2026-07-07 09:00:00,24.6,100,392.0,9,1.96,2.49,-0.53
2026-07-07 10:00:00,25.6,100,523.0,10,2.62,1.19,1.43
2026-07-07 11:00:00,26.0,99,537.0,11,2.68,0.9,1.78
2026-07-07 12:00:00,27.4,93,825.0,12,4.12,1.07,3.05
2026-07-07 13:00:00,28.3,98,862.0,13,4.31,1.1,3.21
2026-07-07 14:00:00,28.6,95,640.0,14,3.2,0.9,2.3
2026-07-07 15:00:00,27.8,99,507.0,15,2.54,1.09,1.45
2026-07-07 16:00:00,27.2,97,412.0,16,2.06,0.95,1.11
2026-07-07 17:00:00,26.9,94,246.0,17,1.23,1.05,0.18
2026-07-07 18:00:00,25.1,34,98.0,18,0.49,2.63,-2.14
2026-07-07 19:00:00,23.9,60,3.0,19,0.02,2.54,-2.52
2026-07-07 20:00:00,23.2,69,0.0,20,0.0,2.09,-2.09
2026-07-07 21:00:00,22.6,26,0.0,21,0.0,2.84,-2.84
2026-07-07 22:00:00,22.1,19,0.0,22,0.0,2.32,-2.32
2026-07-07 23:00:00,22.0,66,0.0,23,0.0,0.87,-0.87
2026-07-08 00:00:00,21.7,61,0.0,0,0.0,0.82,-0.82
2026-07-08 01:00:00,21.6,94,0.0,1,0.0,1.04,-1.04
2026-07-08 02:00:00,21.5,74,0.0,2,0.0,1.07,-1.07
2026-07-08 03:00:00,21.3,98,0.0,3,0.0,0.81,-0.81
2026-07-08 04:00:00,21.1,94,0.0,4,0.0,1.0,-1.0
2026-07-08 05:00:00,21.5,98,0.0,5,0.0,0.89,-0.89
2026-07-08 06:00:00,21.5,86,9.0,6,0.04,2.65,-2.61
2026-07-08 07:00:00,22.5,75,127.0,7,0.64,2.17,-1.53
2026-07-08 08:00:00,24.3,95,321.0,8,1.6,2.69,-1.09
2026-07-08 09:00:00,25.6,85,466.0,9,2.33,2.39,-0.06
2026-07-08 10:00:00,26.6,97,620.0,10,3.1,1.17,1.93
2026-07-08 11:00:00,26.0,100,678.0,11,3.39,0.86,2.53
2026-07-08 12:00:00,26.6,99,328.0,12,1.64,0.94,0.7
2026-07-08 13:00:00,28.2,88,473.0,13,2.36,0.85,1.51
2026-07-08 14:00:00,28.6,87,632.0,14,3.16,1.17,1.99
2026-07-08 15:00:00,24.9,73,381.0,15,1.9,1.15,0.75
2026-07-08 16:00:00,25.7,83,402.0,16,2.01,0.9,1.11
2026-07-08 17:00:00,25.3,43,215.0,17,1.08,1.06,0.02
2026-07-08 18:00:00,25.0,100,108.0,18,0.54,2.82,-2.28
2026-07-08 19:00:00,24.6,100,2.0,19,0.01,2.56,-2.55
2026-07-08 20:00:00,24.0,91,0.0,20,0.0,2.53,-2.53
2026-07-08 21:00:00,22.8,80,0.0,21,0.0,2.24,-2.24
2026-07-08 22:00:00,22.1,100,0.0,22,0.0,2.09,-2.09
2026-07-08 23:00:00,22.4,100,0.0,23,0.0,1.16,-1.16
2026-07-09 00:00:00,22.2,99,0.0,0,0.0,1.16,-1.16
2026-07-09 01:00:00,22.0,93,0.0,1,0.0,1.05,-1.05
2026-07-09 02:00:00,21.8,59,0.0,2,0.0,0.94,-0.94
2026-07-09 03:00:00,21.5,98,0.0,3,0.0,0.94,-0.94
2026-07-09 04:00:00,21.2,95,0.0,4,0.0,1.09,-1.09
2026-07-09 05:00:00,21.9,95,0.0,5,0.0,1.16,-1.16
2026-07-09 06:00:00,21.9,53,7.0,6,0.04,2.89,-2.85
2026-07-09 07:00:00,22.7,57,135.0,7,0.68,2.78,-2.1
2026-07-09 08:00:00,24.4,77,305.0,8,1.52,2.64,-1.12
2026-07-09 09:00:00,25.9,99,521.0,9,2.6,2.08,0.52
2026-07-09 10:00:00,26.1,100,475.0,10,2.38,0.86,1.52
2026-07-09 11:00:00,25.7,100,518.0,11,2.59,1.16,1.43
2026-07-09 12:00:00,26.2,100,317.0,12,1.58,1.04,0.54
2026-07-09 13:00:00,28.1,100,449.0,13,2.24,0.8,1.44
2026-07-09 14:00:00,27.8,98,313.0,14,1.56,0.84,0.72
2026-07-09 15:00:00,28.8,63,421.0,15,2.1,1.07,1.03
2026-07-09 16:00:00,29.6,92,468.0,16,2.34,0.8,1.54
2026-07-09 17:00:00,27.3,98,232.0,17,1.16,0.86,0.3
2026-07-09 18:00:00,26.1,93,74.0,18,0.37,2.55,-2.18
2026-07-09 19:00:00,24.9,93,3.0,19,0.02,2.69,-2.67
2026-07-09 20:00:00,24.4,93,0.0,20,0.0,2.65,-2.65
2026-07-09 21:00:00,23.9,94,0.0,21,0.0,2.22,-2.22
2026-07-09 22:00:00,23.0,93,0.0,22,0.0,2.71,-2.71
2026-07-09 23:00:00,23.1,99,0.0,23,0.0,0.89,-0.89
2026-07-10 00:00:00,22.5,100,0.0,0,0.0,0.93,-0.93
2026-07-10 01:00:00,22.1,98,0.0,1,0.0,1.1,-1.1
2026-07-10 02:00:00,21.9,100,0.0,2,0.0,1.06,-1.06
2026-07-10 03:00:00,21.7,95,0.0,3,0.0,1.14,-1.14
2026-07-10 04:00:00,21.4,99,0.0,4,0.0,1.06,-1.06
2026-07-10 05:00:00,21.4,99,0.0,5,0.0,1.03,-1.03
2026-07-10 06:00:00,21.5,99,8.0,6,0.04,2.09,-2.05
2026-07-10 07:00:00,22.4,90,110.0,7,0.55,2.37,-1.82
2026-07-10 08:00:00,24.1,80,279.0,8,1.4,2.27,-0.87
2026-07-10 09:00:00,26.2,90,496.0,9,2.48,2.24,0.24
2026-07-10 10:00:00,27.7,98,723.0,10,3.62,1.19,2.43
2026-07-10 11:00:00,28.0,100,812.0,11,4.06,0.96,3.1
2026-07-10 12:00:00,28.3,99,676.0,12,3.38,1.16,2.22
2026-07-10 13:00:00,28.9,98,642.0,13,3.21,1.05,2.16
2026-07-10 14:00:00,29.9,84,775.0,14,3.88,1.12,2.76
2026-07-10 15:00:00,26.9,88,649.0,15,3.24,1.0,2.24
2026-07-10 16:00:00,24.8,95,259.0,16,1.3,1.03,0.27
2026-07-10 17:00:00,26.3,92,164.0,17,0.82,1.0,-0.18
2026-07-10 18:00:00,24.7,86,102.0,18,0.51,2.2,-1.69
2026-07-10 19:00:00,23.6,77,3.0,19,0.02,2.72,-2.7
2026-07-10 20:00:00,22.7,85,0.0,20,0.0,2.28,-2.28
2026-07-10 21:00:00,22.1,70,0.0,21,0.0,2.02,-2.02
2026-07-10 22:00:00,21.9,72,0.0,22,0.0,2.65,-2.65
2026-07-10 23:00:00,22.2,41,0.0,23,0.0,0.87,-0.87
2026-07-11 00:00:00,21.8,80,0.0,0,0.0,1.18,-1.18
2026-07-11 01:00:00,21.4,98,0.0,1,0.0,1.18,-1.18
2026-07-11 02:00:00,21.0,99,0.0,2,0.0,1.17,-1.17
2026-07-11 03:00:00,20.7,80,0.0,3,0.0,0.95,-0.95
2026-07-11 04:00:00,20.4,92,0.0,4,0.0,0.81,-0.81
2026-07-11 05:00:00,20.5,77,0.0,5,0.0,1.17,-1.17
2026-07-11 06:00:00,20.4,94,10.0,6,0.05,2.43,-2.38
2026-07-11 07:00:00,21.7,90,135.0,7,0.68,2.97,-2.29
2026-07-11 08:00:00,23.5,100,248.0,8,1.24,2.96,-1.72
2026-07-11 09:00:00,25.6,89,450.0,9,2.25,2.85,-0.6
2026-07-11 10:00:00,27.0,100,597.0,10,2.98,0.92,2.06
2026-07-11 11:00:00,28.5,97,530.0,11,2.65,0.95,1.7
2026-07-11 12:00:00,28.9,98,579.0,12,2.89,1.14,1.75
2026-07-11 13:00:00,30.5,100,751.0,13,3.76,0.93,2.83
2026-07-11 14:00:00,30.4,100,613.0,14,3.06,0.87,2.19
2026-07-11 15:00:00,30.7,100,593.0,15,2.96,1.02,1.94
2026-07-11 16:00:00,30.8,92,400.0,16,2.0,1.17,0.83
2026-07-11 17:00:00,29.9,71,295.0,17,1.48,1.08,0.4
2026-07-11 18:00:00,28.4,96,107.0,18,0.54,2.57,-2.03
2026-07-11 19:00:00,27.2,34,3.0,19,0.02,2.1,-2.08
2026-07-11 20:00:00,26.0,34,0.0,20,0.0,2.62,-2.62
2026-07-11 21:00:00,24.8,33,0.0,21,0.0,2.99,-2.99
2026-07-11 22:00:00,23.9,83,0.0,22,0.0,2.14,-2.14
2026-07-11 23:00:00,23.4,67,0.0,23,0.0,1.01,-1.01
2026-07-12 00:00:00,22.7,95,0.0,0,0.0,1.15,-1.15
2026-07-12 01:00:00,22.0,98,0.0,1,0.0,1.1,-1.1
2026-07-12 02:00:00,21.7,100,0.0,2,0.0,1.08,-1.08
2026-07-12 03:00:00,21.1,99,0.0,3,0.0,1.08,-1.08
2026-07-12 04:00:00,20.6,98,0.0,4,0.0,0.94,-0.94
2026-07-12 05:00:00,20.9,95,0.0,5,0.0,0.92,-0.92
2026-07-12 06:00:00,20.7,100,9.0,6,0.04,2.81,-2.77
2026-07-12 07:00:00,22.0,100,103.0,7,0.52,2.81,-2.29
2026-07-12 08:00:00,23.3,91,216.0,8,1.08,2.87,-1.79
2026-07-12 09:00:00,26.0,87,558.0,9,2.79,2.91,-0.12
2026-07-12 10:00:00,27.5,96,755.0,10,3.78,1.0,2.78
2026-07-12 11:00:00,29.2,95,900.0,11,4.5,1.0,3.5
2026-07-12 12:00:00,30.3,99,933.0,12,4.66,1.12,3.54
2026-07-12 13:00:00,31.5,99,944.0,13,4.72,1.06,3.66
2026-07-12 14:00:00,31.8,99,865.0,14,4.32,1.08,3.24
2026-07-12 15:00:00,31.7,100,686.0,15,3.43,1.12,2.31
2026-07-12 16:00:00,31.5,95,464.0,16,2.32,1.16,1.16
2026-07-12 17:00:00,30.3,97,313.0,17,1.56,0.94,0.62
2026-07-12 18:00:00,28.0,91,91.0,18,0.45,2.38,-1.93
2026-07-12 19:00:00,26.3,98,4.0,19,0.02,2.09,-2.07
2026-07-12 20:00:00,25.3,55,0.0,20,0.0,2.58,-2.58
2026-07-12 21:00:00,24.2,100,0.0,21,0.0,2.04,-2.04
2026-07-12 22:00:00,23.2,84,0.0,22,0.0,2.47,-2.47
2026-07-12 23:00:00,22.9,76,0.0,23,0.0,1.02,-1.02
2026-07-13 00:00:00,22.1,91,0.0,0,0.0,0.91,-0.91
2026-07-13 01:00:00,21.5,94,0.0,1,0.0,1.04,-1.04
2026-07-13 02:00:00,21.0,80,0.0,2,0.0,0.81,-0.81
2026-07-13 03:00:00,20.5,89,0.0,3,0.0,0.81,-0.81
2026-07-13 04:00:00,20.2,96,0.0,4,0.0,1.13,-1.13
2026-07-13 05:00:00,20.4,100,0.0,5,0.0,0.94,-0.94
2026-07-13 06:00:00,20.7,100,6.0,6,0.03,2.13,-2.1
2026-07-13 07:00:00,21.8,99,111.0,7,0.56,2.52,-1.96
2026-07-13 08:00:00,23.7,98,283.0,8,1.41,2.77,-1.36
2026-07-13 09:00:00,25.8,95,475.0,9,2.38,2.22,0.16
2026-07-13 10:00:00,27.5,84,713.0,10,3.56,1.05,2.51
2026-07-13 11:00:00,28.8,96,910.0,11,4.55,0.83,3.72
2026-07-13 12:00:00,30.2,100,943.0,12,4.72,0.82,3.9
2026-07-13 13:00:00,31.3,99,954.0,13,4.77,1.01,3.76
2026-07-13 14:00:00,31.6,100,867.0,14,4.34,1.02,3.32
2026-07-13 15:00:00,31.8,96,738.0,15,3.69,1.05,2.64
2026-07-13 16:00:00,31.5,74,539.0,16,2.7,1.09,1.61
2026-07-13 17:00:00,30.9,55,322.0,17,1.61,1.19,0.42
2026-07-13 18:00:00,29.4,7,119.0,18,0.6,2.52,-1.92
2026-07-13 19:00:00,28.0,31,4.0,19,0.02,2.32,-2.3
2026-07-13 20:00:00,26.9,16,0.0,20,0.0,2.8,-2.8
2026-07-13 21:00:00,25.4,98,0.0,21,0.0,2.27,-2.27
2026-07-13 22:00:00,24.4,96,0.0,22,0.0,2.44,-2.44
2026-07-13 23:00:00,23.9,95,0.0,23,0.0,0.83,-0.83
2026-07-14 00:00:00,22.8,89,0.0,0,0.0,0.81,-0.81
2026-07-14 01:00:00,21.9,100,0.0,1,0.0,1.19,-1.19
2026-07-14 02:00:00,21.2,73,0.0,2,0.0,1.13,-1.13
2026-07-14 03:00:00,20.5,44,0.0,3,0.0,1.08,-1.08
2026-07-14 04:00:00,19.9,65,0.0,4,0.0,0.96,-0.96
2026-07-14 05:00:00,20.1,100,0.0,5,0.0,0.87,-0.87
2026-07-14 06:00:00,20.1,73,7.0,6,0.04,2.16,-2.12
2026-07-14 07:00:00,21.0,95,141.0,7,0.7,2.25,-1.55
2026-07-14 08:00:00,22.9,99,338.0,8,1.69,2.55,-0.86
2026-07-14 09:00:00,25.3,99,576.0,9,2.88,2.71,0.17
2026-07-14 10:00:00,27.4,96,753.0,10,3.76,1.06,2.7
2026-07-14 11:00:00,28.9,97,909.0,11,4.54,0.91,3.63
2026-07-14 12:00:00,30.3,100,978.0,12,4.89,1.18,3.71
2026-07-14 13:00:00,31.4,100,958.0,13,4.79,1.1,3.69
2026-07-14 14:00:00,32.1,100,857.0,14,4.28,1.02,3.26
2026-07-14 15:00:00,32.0,100,647.0,15,3.24,1.04,2.2
2026-07-14 16:00:00,31.7,100,488.0,16,2.44,0.97,1.47
2026-07-14 17:00:00,31.0,96,318.0,17,1.59,0.9,0.69
2026-07-14 18:00:00,29.4,52,102.0,18,0.51,2.36,-1.85
2026-07-14 19:00:00,28.2,92,4.0,19,0.02,2.76,-2.74
2026-07-14 20:00:00,27.4,96,0.0,20,0.0,2.01,-2.01
2026-07-14 21:00:00,25.8,96,0.0,21,0.0,2.12,-2.12
2026-07-14 22:00:00,24.5,87,0.0,22,0.0,2.05,-2.05
2026-07-14 23:00:00,24.0,96,0.0,23,0.0,0.82,-0.82
2026-07-15 00:00:00,22.9,99,0.0,0,0.0,1.14,-1.14
2026-07-15 01:00:00,22.0,98,0.0,1,0.0,1.08,-1.08
2026-07-15 02:00:00,21.2,89,0.0,2,0.0,0.99,-0.99
2026-07-15 03:00:00,20.6,98,0.0,3,0.0,0.84,-0.84
2026-07-15 04:00:00,20.2,98,0.0,4,0.0,1.0,-1.0
2026-07-15 05:00:00,19.9,99,0.0,5,0.0,0.99,-0.99
2026-07-15 06:00:00,19.8,100,8.0,6,0.04,2.17,-2.13
2026-07-15 07:00:00,20.6,100,100.0,7,0.5,2.43,-1.93
2026-07-15 08:00:00,22.6,84,281.0,8,1.41,2.4,-0.99
2026-07-15 09:00:00,24.6,85,566.0,9,2.83,2.62,0.21
2026-07-15 10:00:00,26.8,45,770.0,10,3.85,1.05,2.8
2026-07-15 11:00:00,28.1,96,928.0,11,4.64,0.82,3.82
2026-07-15 12:00:00,29.5,51,990.0,12,4.95,0.95,4.0
2026-07-15 13:00:00,30.7,32,993.0,13,4.96,1.05,3.91
2026-07-15 14:00:00,31.1,27,899.0,14,4.5,1.0,3.5
2026-07-15 15:00:00,31.3,25,760.0,15,3.8,1.14,2.66
2026-07-15 16:00:00,31.0,46,571.0,16,2.85,1.06,1.79
2026-07-15 17:00:00,30.8,67,329.0,17,1.64,0.87,0.77
2026-07-15 18:00:00,29.5,88,120.0,18,0.6,2.07,-1.47
2026-07-15 19:00:00,27.9,94,4.0,19,0.02,2.64,-2.62
2026-07-15 20:00:00,26.5,100,0.0,20,0.0,2.03,-2.03
2026-07-15 21:00:00,25.1,99,0.0,21,0.0,2.59,-2.59
2026-07-15 22:00:00,23.8,99,0.0,22,0.0,2.94,-2.94
2026-07-15 23:00:00,23.2,98,0.0,23,0.0,1.03,-1.03
2026-07-16 00:00:00,22.4,100,0.0,0,0.0,0.96,-0.96
2026-07-16 01:00:00,21.7,98,0.0,1,0.0,1.06,-1.06
2026-07-16 02:00:00,21.2,91,0.0,2,0.0,0.98,-0.98
2026-07-16 03:00:00,20.5,78,0.0,3,0.0,1.02,-1.02
2026-07-16 04:00:00,20.0,93,0.0,4,0.0,1.18,-1.18
2026-07-16 05:00:00,20.1,59,0.0,5,0.0,0.95,-0.95
2026-07-16 06:00:00,19.9,5,9.0,6,0.04,2.96,-2.92
2026-07-16 07:00:00,21.1,6,153.0,7,0.76,2.91,-2.15
2026-07-16 08:00:00,23.0,43,380.0,8,1.9,2.2,-0.3
